,时间 (Time),指标A (index A),指标B (index B),指标C (index C),指标D (index D),Unnamed: 5,Unnamed: 6,T1,T2
0,2022-01-13 00:50:00,78.26,25.54,12.24,14.14,,,[1173.63],[813.92]
1,2022-01-13 01:50:00,78.16,25.27,12.24,14.32,,,[854.55],[767.64]
2,2022-01-13 02:50:00,78.15,26.21,12.93,14.59,,,[855.34],[767.99]
3,2022-01-13 03:50:00,78.39,25.22,12.93,14.28,,,[853.57],[766.2]
4,2022-01-13 04:50:00,79.22,24.6,12.41,13.7,,,[854.81],[768.08]
5,2022-01-13 05:50:00,79.52,23.88,11.55,13.56,,,[594.59],[686.44]
6,2022-01-13 06:50:00,80.04,23.48,11.55,13.47,,,[595.],[686.57]
7,2022-01-13 07:50:00,80.51,22.41,11.72,13.38,,,[595.22],[686.44]
8,2022-01-13 08:50:00,79.18,23.97,12.24,13.79,,,[594.69],[686.45]
9,2022-01-13 09:50:00,79.56,24.02,12.41,14.95,,,[877.17],[758.44]
10,2022-01-13 10:50:00,79.76,24.06,11.89,15.58,,,[876.38],[758.12]
11,2022-01-13 11:50:00,79.29,23.93,12.24,17.05,,,[876.82],[758.58]
12,2022-01-13 12:50:00,79.45,23.34,11.72,17.23,,,[876.96],[758.34]
13,2022-01-13 13:50:00,79.28,23.3,11.37,16.52,,,[876.86],[758.4]
14,2022-01-13 14:50:00,79.96,22.81,11.37,16.47,,,[877.04],[758.42]
15,2022-01-13 15:50:00,80.41,21.91,10.68,17.72,,,[876.82],[758.41]
16,2022-01-13 16:50:00,80.09,22.36,11.03,16.87,,,[1375.2],[830.14]
17,2022-01-13 17:50:00,79.87,23.26,10.68,17.01,,,[1375.07],[830.09]
18,2022-01-13 18:50:00,80.26,23.21,10.34,16.65,,,[1374.23],[829.53]
19,2022-01-13 19:50:00,80.0,23.21,10.68,16.78,,,[1376.26],[830.27]
20,2022-01-13 20:50:00,79.59,24.37,11.37,18.21,,,[1390.89],[841.49]
21,2022-01-13 21:50:00,79.59,24.55,11.72,19.11,,,[1389.61],[840.43]
22,2022-01-13 22:50:00,79.56,24.19,11.89,20.45,,,[1389.12],[841.28]
23,2022-01-13 23:50:00,79.07,24.64,12.07,15.22,,,[1389.16],[840.5]
24,2022-01-14 00:50:00,79.22,24.15,12.59,13.07,,,[1388.77],[840.33]
25,2022-01-14 01:50:00,80.06,23.26,11.72,12.89,,,[1288.93],[826.44]
26,2022-01-14 02:50:00,79.78,22.99,11.55,11.77,,,[1289.47],[826.62]
27,2022-01-14 03:50:00,79.41,23.57,11.2,12.36,,,[1396.37],[841.69]
28,2022-01-14 04:50:00,80.0,23.3,11.37,12.62,,,[1396.45],[841.66]
