,rate,M1,M2,M3,M4,T1,T2
2022-03-04,0.0,55.0,102.93,48.36,20.21,511.05663194444446,610.1982847222223
2022-01-27,0.0,54.04,102.21,47.94,21.3,1016.7149861111112,861.417375
2022-01-28,0.0,56.43,112.74,43.54,20.14,601.5064350243224,779.8638985406532
2022-01-29,0.0,54.89,109.21,43.6,21.64,1055.6168867268937,782.0355524669909
2022-03-05,0.0,55.53,105.06,44.68,18.8,418.94056944444446,349.6632152777778
2022-03-06,0.0,56.08,113.75,45.77,20.86,461.7279097222222,637.7587291666667
2022-03-10,0.0,54.19,98.61,47.88,21.55,632.023638888889,745.5947013888888
2022-03-18,0.0,58.53,117.06,43.54,18.37,860.3033402777778,780.2264652777777
2022-03-17,0.0,53.73,106.88,43.78,21.3,811.4202569444444,884.7270277777777
2022-02-06,0.04166666666666663,57.88,106.2,47.1,19.63,1021.7484422809457,730.3866481223922
2022-02-04,0.04166666666666663,56.43,98.23,50.29,19.88,1196.530278164117,851.3008344923505
2022-03-16,0.04166666666666663,57.85,113.63,45.77,18.23,603.0650277777778,714.729111111111
2022-03-15,0.04166666666666663,55.12,112.1,48.06,20.26,1097.9246346555326,968.4220528879611
2022-03-11,0.08333333333333337,54.44,94.32,47.88,23.08,805.1356715379262,814.1722477383438
2022-04-07,0.08333333333333337,54.4,105.14,49.03,20.82,507.77223382045935,631.842052887961
2022-03-20,0.08333333333333337,54.35,99.12,45.41,21.76,872.2172777777777,816.3893750000001
2022-03-26,0.08333333333333337,56.25,104.5,48.91,18.56,986.1913055555556,857.7158472222221
2022-02-20,0.08333333333333337,54.69,103.57,49.33,22.19,971.2592265625001,884.8432421875001
2022-02-26,0.08695652173913049,57.83,107.77,50.05,17.65,458.24366172624235,590.0121447253705
2022-03-19,0.125,55.75,102.09,47.4,20.51,460.4927083333333,675.0460763888889
2022-03-03,0.125,57.23,111.59,47.28,18.87,372.4831736111111,443.1160763888888
2022-02-28,0.125,60.6,123.72,43.29,17.91,480.43150694444444,573.2402986111111
2022-02-27,0.125,54.44,105.14,50.9,20.63,668.1004097222223,769.6344791666668
2022-03-12,0.125,58.14,108.41,44.92,18.18,623.0283449235048,745.8180876216969
2022-03-23,0.16666666666666663,54.6,102.47,46.43,20.5,581.7845410292072,583.1222600834493
2022-03-01,0.16666666666666663,57.17,114.14,45.35,18.57,543.7681944444444,653.8571736111111
2022-01-25,0.16666666666666663,55.26,108.03,43.29,20.92,1378.8533773453787,955.6750521195274
2022-02-01,0.16666666666666663,62.29,133.06,38.95,16.36,1376.5680277777778,881.8454861111111
2022-03-21,0.17391304347826086,53.93,97.63,47.04,21.81,697.8794027777778,697.7727708333332
2022-03-02,0.20833333333333337,53.74,108.54,45.17,21.16,742.7343888888889,675.3689375
2022-03-28,0.20833333333333337,56.19,100.86,48.24,19.33,722.4331223922114,745.3210013908207
2022-01-26,0.20833333333333337,55.28,102.38,46.13,20.1,1404.8177083333333,943.5957291666666
2022-02-19,0.20833333333333337,56.74,109.3,47.4,19.98,1085.3278263888888,848.7260347222224
2022-03-09,0.20833333333333337,56.78,112.69,45.83,19.03,840.3336794425088,847.6613101045295
2022-03-08,0.20833333333333337,57.47,109.47,46.61,17.77,1085.907986111111,908.9915972222221
2022-04-04,0.2272727272727273,53.98,89.87,51.14,20.67,459.3727013888889,656.0724652777777
2022-04-02,0.25,54.94,95.64,48.97,20.34,821.1118541666666,722.7945347222222
2022-04-01,0.25,55.11,106.46,45.83,20.26,822.3513687943262,731.0790780141843
2022-02-09,0.25,59.8,113.2,49.51,16.56,1382.5159930555553,882.9781527777778
2022-03-07,0.25,54.39,98.56,46.98,19.5,1002.4268958333333,939.8718333333333
2022-02-21,0.25,55.67,101.37,47.1,20.87,677.1535937500001,747.3729017857142
2022-02-25,0.25,58.12,110.15,49.03,18.01,881.4843333333333,879.0743055555556
2022-02-23,0.29166666666666663,55.84,112.35,47.7,20.43,996.8501527777778,1064.3503333333333
2022-04-06,0.29166666666666663,56.13,103.83,46.67,20.35,591.4038702928871,641.7594211994422
2022-02-08,0.29166666666666663,59.92,117.44,42.21,16.88,1404.6767083333334,877.1444791666667
2022-03-30,0.29166666666666663,56.29,107.26,43.17,20.45,679.8774513888889,762.0536527777778
2022-01-31,0.29166666666666663,58.81,109.09,45.89,17.47,1376.5579097222223,889.6221597222221
2022-02-07,0.33333333333333337,54.08,96.61,49.03,21.09,1386.8202222222221,846.9399166666667
2022-04-03,0.33333333333333337,54.3,101.07,47.1,20.65,814.7408888888888,797.6458472222222
2022-03-27,0.33333333333333337,55.54,99.54,45.35,20.8,1125.0029861111109,812.0634444444445
2022-01-30,0.33333333333333337,57.34,112.91,42.87,18.8,1231.5573055555556,840.0665416666666
2022-02-02,0.33333333333333337,60.14,123.98,44.56,16.21,1337.7664861111114,896.8604236111112
2022-03-31,0.375,53.73,100.18,43.35,21.85,895.4131041666667,806.8958194444444
2022-03-29,0.375,53.05,99.8,46.85,22.37,996.6902430555555,855.0529444444446
2022-03-22,0.375,56.76,101.07,47.4,19.14,682.9093837535014,729.969705882353
2022-02-05,0.375,50.91,84.99,51.02,23.51,1171.7091041666665,783.8247152777778
2022-02-03,0.3913043478260869,54.93,87.87,52.89,20.57,1274.6418680555555,881.6187430555557
2022-03-24,0.41666666666666663,54.13,91.99,49.21,20.82,597.9135445682452,624.3647562674095
