时间 (Time),时间 (Time),指标A (index A),指标B (index B),指标C (index C),指标D (index D),T1,T2,M1,M2,M3,M4
2022-01-13 00:50:00,2022-01-13 00:50:00,78.26,25.54,12.24,14.14,1173.63,813.92,49.24,90.38,46.13,28.16
2022-01-13 01:50:00,2022-01-13 01:50:00,78.16,25.27,12.24,14.32,854.55,767.64,49.24,90.38,46.13,28.16
2022-01-13 02:50:00,2022-01-13 02:50:00,78.15,26.21,12.93,14.59,855.34,767.99,49.24,90.38,46.13,28.16
2022-01-13 03:50:00,2022-01-13 03:50:00,78.39,25.22,12.93,14.28,853.57,766.2,49.24,90.38,46.13,28.16
2022-01-13 04:50:00,2022-01-13 04:50:00,79.22,24.6,12.41,13.7,854.81,768.08,49.24,90.38,46.13,28.16
2022-01-13 05:50:00,2022-01-13 05:50:00,79.52,23.88,11.55,13.56,594.59,686.44,49.24,90.38,46.13,28.16
2022-01-13 06:50:00,2022-01-13 06:50:00,80.04,23.48,11.55,13.47,595.0,686.57,49.24,90.38,46.13,28.16
2022-01-13 07:50:00,2022-01-13 07:50:00,80.51,22.41,11.72,13.38,595.22,686.44,49.24,90.38,46.13,28.16
2022-01-13 08:50:00,2022-01-13 08:50:00,79.18,23.97,12.24,13.79,594.69,686.45,49.24,90.38,46.13,28.16
2022-01-13 09:50:00,2022-01-13 09:50:00,79.56,24.02,12.41,14.95,877.17,758.44,49.24,90.38,46.13,28.16
2022-01-13 10:50:00,2022-01-13 10:50:00,79.76,24.06,11.89,15.58,876.38,758.12,49.24,90.38,46.13,28.16
2022-01-13 11:50:00,2022-01-13 11:50:00,79.29,23.93,12.24,17.05,876.82,758.58,49.24,90.38,46.13,28.16
2022-01-13 12:50:00,2022-01-13 12:50:00,79.45,23.34,11.72,17.23,876.96,758.34,49.24,90.38,46.13,28.16
2022-01-13 13:50:00,2022-01-13 13:50:00,79.28,23.3,11.37,16.52,876.86,758.4,49.24,90.38,46.13,28.16
2022-01-13 14:50:00,2022-01-13 14:50:00,79.96,22.81,11.37,16.47,877.04,758.42,49.24,90.38,46.13,28.16
2022-01-13 15:50:00,2022-01-13 15:50:00,80.41,21.91,10.68,17.72,876.82,758.41,49.24,90.38,46.13,28.16
